nombre;url;doc_language_ok;alt_texts_ok;input_labels_ok;empty_buttons_ok;empty_links_ok;color_contrast_ok;doc_language_fail;alt_texts_fail;input_labels_fail;empty_buttons_fail;empty_links_fail;color_contrast_fail;ratio;clase
Instituto Universitario de Gendarmería Nacional;https://iugna.edu.ar;1;6;0;7;15;41;0;5;0;0;3;8;0.813953488372093;sin_prob_aw
Instituto Universitario de la Policía Federal Argentina;https://www.iupfa.edu.ar;0;17;0;0;93;17;1;11;0;0;11;73;0.5695067264573991;con_prob_aw
Instituto Universitario de Seguridad Marítima;https://iusm.edu.ar;1;4;0;1;26;47;0;3;0;0;1;4;0.9080459770114943;sin_prob_aw
Universidad Autónoma de Entre Ríos;https://www.uader.edu.ar/;1;3;1;13;115;125;0;54;0;3;30;68;0.6246973365617433;con_prob_aw
Universidad de Buenos Aires;https://www.uba.ar/;1;3;1;4;140;136;0;4;0;1;8;27;0.8769230769230769;sin_prob_aw
Universidad de la Defensa Nacional;https://www.undef.edu.ar;1;5;0;2;85;82;0;19;4;6;1;24;0.7641921397379913;sin_prob_aw
Universidad del Chubut;https://www.udc.edu.ar/;1;9;1;0;232;198;0;25;0;0;2;103;0.7723292469352014;sin_prob_aw
Universidad Nacional Arturo Jauretche;https://www.unaj.edu.ar;1;12;4;2;113;113;0;0;2;2;10;37;0.8277027027027027;sin_prob_aw
Universidad Nacional de Avellaneda;https://www.undav.edu.ar;0;11;0;0;90;79;1;20;0;0;15;31;0.728744939271255;con_prob_aw
Universidad Nacional de Catamarca;https://www.unca.edu.ar/;1;3;0;10;135;181;0;20;0;2;4;18;0.8823529411764706;sin_prob_aw
Universidad Nacional de Chilecito;https://www.undec.edu.ar;1;6;0;0;253;1029;0;11;1;2;10;205;0.8491436100131752;sin_prob_aw
Universidad Nacional de Córdoba;https://www.unc.edu.ar;1;23;0;4;249;258;0;20;2;3;11;28;0.8931552587646077;sin_prob_aw
Universidad Nacional de Cuyo;https://www.uncuyo.edu.ar;1;31;0;2;161;203;0;5;1;0;5;10;0.9498806682577565;sin_prob_aw
Universidad Nacional de Entre Ríos;https://www.uner.edu.ar;1;5;8;8;86;90;0;9;2;0;1;28;0.8319327731092437;sin_prob_aw
Universidad Nacional de Formosa;https://www.unf.edu.ar;1;12;0;4;174;162;0;8;3;0;15;3;0.9240837696335078;sin_prob_aw
Universidad Nacional de General Sarmiento;https://www.ungs.edu.ar;1;8;0;1;779;211;0;25;2;2;24;542;0.6269592476489029;con_prob_aw
Universidad Nacional de Hurlingham;https://unahur.edu.ar;1;10;0;3;152;141;0;18;1;0;7;32;0.8410958904109589;sin_prob_aw
Universidad Nacional de Jujuy;https://www.unju.edu.ar;1;0;0;0;176;163;0;62;0;0;35;48;0.7010309278350515;con_prob_aw
Universidad Nacional del Alto Uruguay;https://www.unau.edu.ar;1;12;0;1;120;135;0;1;0;0;0;5;0.9781818181818182;sin_prob_aw
Universidad Nacional de La Matanza;https://www.unlam.edu.ar;1;50;0;1;213;121;0;5;1;0;0;79;0.8195329087048833;sin_prob_aw
Universidad Nacional de Lanús;https://www.unla.edu.ar;1;49;0;6;330;202;0;6;4;0;1;266;0.6797687861271676;con_prob_aw
Universidad Nacional de La Pampa;https://www.unlpam.edu.ar;1;5;0;2;230;251;0;1;3;2;18;29;0.9022140221402214;sin_prob_aw
Universidad Nacional de la Patagonia Austral;https://www.unpa.edu.ar/;1;37;6;3;165;154;0;2;0;0;11;51;0.8511627906976744;sin_prob_aw
Universidad Nacional de la Patagonia San Juan Bosco;https://www.unp.edu.ar;1;28;0;0;242;175;0;16;1;0;14;103;0.7689655172413793;sin_prob_aw
Universidad Nacional de La Plata;https://www.unlp.edu.ar/;1;40;2;5;299;238;0;30;0;20;3;22;0.8863636363636364;sin_prob_aw
Universidad Nacional de La Rioja;https://www.unlar.edu.ar;1;29;0;9;237;215;0;0;0;0;3;3;0.9879275653923542;sin_prob_aw
Universidad Nacional de las Artes;https://www.una.edu.ar/;1;48;0;0;630;628;0;1;0;0;35;22;0.9575091575091575;sin_prob_aw
Universidad Nacional del Centro de la Provincia de Buenos Aires;https://www.unicen.edu.ar;1;1;2;0;97;106;0;39;5;0;13;15;0.7419354838709677;con_prob_aw
Universidad Nacional del Chaco Austral;https://www.uncaus.edu.ar/;1;17;0;0;209;108;0;1;0;0;6;100;0.7579185520361991;sin_prob_aw
Universidad Nacional del Comahue;https://www.uncoma.edu.ar;1;0;4;4;376;461;0;28;0;0;0;29;0.9368770764119602;sin_prob_aw
Universidad Nacional del Delta;https://undelta.edu.ar/;1;3;0;0;55;40;0;9;0;0;0;18;0.7857142857142857;sin_prob_aw
Universidad Nacional del Litoral;https://www.unl.edu.ar;1;0;0;0;116;38;0;18;1;1;16;101;0.5308219178082192;con_prob_aw
Universidad Nacional del Nordeste;https://www.unne.edu.ar/;1;5;1;0;215;173;0;23;0;0;3;24;0.8876404494382022;sin_prob_aw
Universidad Nacional del Noroeste de la Provincia de Buenos Aires;https://www.unnoba.edu.ar;1;22;4;11;188;71;0;12;1;0;12;155;0.6226415094339622;con_prob_aw
Universidad Nacional del Oeste;https://www.uno.edu.ar;1;18;1;0;274;177;0;0;0;1;1;160;0.7440758293838863;con_prob_aw
Universidad Nacional de Lomas de Zamora;https://www.agrarias.unlz.edu.ar;1;4;0;1;60;67;0;11;1;0;8;40;0.689119170984456;con_prob_aw
Universidad Nacional de los Comechingones;https://www.unlc.edu.ar/;1;3;0;4;81;91;0;26;2;0;24;27;0.694980694980695;con_prob_aw
Universidad Nacional del Sur;https://www.uns.edu.ar;1;45;0;3;84;115;0;0;0;1;6;20;0.9018181818181819;sin_prob_aw
Universidad Nacional de Luján;https://www.unlu.edu.ar/;1;69;2;0;188;141;0;1;2;0;1;1;0.9876847290640394;sin_prob_aw
Universidad Nacional de Mar del Plata;https://www.mdp.edu.ar/;1;57;0;0;347;489;0;5;3;1;12;33;0.9430379746835443;sin_prob_aw
Universidad Nacional de Misiones;https://www.unam.edu.ar/;1;19;2;0;241;131;0;21;0;0;26;191;0.6234177215189873;con_prob_aw
Universidad Nacional de Moreno;https://www.unm.edu.ar;1;0;1;4;89;127;0;10;0;0;17;31;0.7928571428571428;sin_prob_aw
Universidad Nacional de Pilar;https://unpilar.edu.ar/;1;9;5;1;120;316;0;4;0;0;1;36;0.9168356997971603;sin_prob_aw
